title,type,country,release_year,rating,duration,genre,description
White Christmas,Movie,United States,1954,G,120 min,Children & Family Movies,Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer who is in danger of losing the place.
Forbidden Planet,Movie,United States,1956,G,98 min,Action & Adventure,A pulp-fiction sci-fi classic Forbidden Planet stars Leslie Nielsen as a heroic starship captain who finds the paradise planet Altair-IV.
Gigi,Movie,United States,1958,G,115 min,Classic Movies,Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.
My Fair Lady,Movie,United States,1964,G,173 min,Classic Movies,When a Cockney flower girl takes elocution lessons from an aloof professor he decides to introduce her to high society transforming both their lives.
The Andy Griffith Show,TV Show,United States,1967,G,8 Seasons,Classic & Cult TV,Homespun humor and easygoing Sheriff Andy Taylor are at the center of this nostalgic look at Mayberry a small town filled with lovable characters.
Chitty Chitty Bang Bang,Movie,United Kingdom,1968,G,146 min,Children & Family Movies,Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria a kingdom strangely devoid of children.
True Grit,Movie,United States,1969,G,128 min,Classic Movies,Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.
Fiddler on the Roof,Movie,United States,1971,G,181 min,Classic Movies,This adaptation of the musical chronicles the trials of a Jewish peasant his wife and their three strong-willed daughters in pre-revolutionary Russia.
Willy Wonka & the Chocolate Factory,Movie,United States,1971,G,100 min,Children & Family Movies,Zany Willy Wonka causes a stir when he announces that golden tickets hidden inside his candy bars will admit holders into his secret confectionary.
Charlotte's Web,Movie,United States,1973,G,94 min,Children & Family Movies,Follow the adventures of Wilbur the pig Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.
For the Love of Benji,Movie,United States,1977,G,84 min,Children & Family Movies,Benji and his owner get separated in Greece. On his quest to find them he's targeted by various bad guys who want to get their hands on him.
Benji's Very Own Christmas Story,Movie,United States,1978,G,25 min,Children & Family Movies,While on a press tour Benji goes behind the scenes of Santa's workshop. But Santa has a devastating secret so it's up to Benji to save Christmas.
Ninja Hattori,TV Show,Japan,1981,G,1 Season,Anime,Elementary school student Kenichi Mitsuba's household gains a surprising new member: Kanzo Hattori a mischievous but helpful young ninja.
